"personagem";"diálogo"
"VADER";"Ela deve ter escondido os planos na cápsula de fuga. Envie um destacamento para recuperá-los. Cuide disso pessoalmente, Comandante. Não haverá ninguém para nos parar desta vez."
"COMANDANTE";"Sim, senhor."
"THREEPIO";"Como eu entrei nessa confusão? Eu realmente não sei como. Parece que somos feitos para sofrer. É o nosso destino na vida."
"THREEPIO";"Tenho que descansar antes de desmoronar. Minhas articulações estão quase congeladas."
"THREEPIO";"Que lugar desolado é este."
"THREEPIO";"Onde você vai?"
"THREEPIO";"Bem, eu não vou por esse caminho. É muito rochoso. Assim é muito mais fácil."
"THREEPIO";"O que faz você pensar que existem assentamentos por lá?"
"THREEPIO";"Não seja técnico comigo."
"THREEPIO";"Que missão? Do que você está falando? Eu já tive o suficiente de você! Vá por ali! Você estará com defeito em um dia, sua pilha de sucata míope!"
"THREEPIO";"E não me deixe pegar você me seguindo implorando por ajuda, porque você não vai conseguir."
"THREEPIO";"Chega de aventuras. Não vou para lá."
"THREEPIO";"Aquele idiota com defeito. Isso é tudo culpa dele! Ele me enganou para ir por aqui, mas não vai fazer melhor."
"THREEPIO";"Espere, o que é isso? Um transporte! Estou salvo!"
"THREEPIO";"Aqui! Socorro! Por favor, socorro!"
"LUKE";"... então eu cortei minha energia, desliguei os pós-combustores e entrei no rastro de Deak. Eu estava tão perto que pensei que ia fritar meus instrumentos. Skyhopper muito ruim. Tio Owen estava muito chateado. Ele me deixou de castigo pelo resto da temporada. Você deveria ter estado lá... foi fantástico."
"BIGGS";"Você deveria ter um pouco mais de calma Luke. Você pode ser o piloto mais quente deste lado de Mos Eisley, mas esses pequenos Skyhoppers são perigosos. Continue assim, e um dia, wammo, você vai ser nada mais do que uma mancha escura no lado de baixo de uma parede de cânion."
"LUKE";"Olha quem está falando. Agora que você esteve perto dessas naves gigantes, você está começando a parecer meu tio. Você ficou mole na cidade..."
"BIGGS";"Senti sua falta garoto."
"LUKE";"Bem, as coisas não têm sido as mesmas desde que você partiu, Biggs. Tem sido tão... quieto."
"BIGGS";"Luke, eu não voltei só para me despedir... eu não deveria te dizer isso, mas você é o único em quem posso confiar... e se eu não for de volta, eu quero que alguém saiba."
"LUKE";"Do que você está falando?"
"BIGGS";"Fiz alguns amigos na Academia... quando nossa fragata for para um dos sistemas centrais, vamos pular do navio e nos juntar à Aliança..."
"LUKE";"Junte-se à Rebelião?! Você está brincando! Como?"
"BIGGS";"Acalme-se! Você tem uma boca maior que uma cratera de meteoro!"
"LUKE";"Desculpe. Estou quieto. Ouça como estou quieto. Você mal consegue me ouvir..."
"BIGGS";"Meu amigo tem um amigo no Bestine que pode nos ajudar a fazer contato."
"LUKE";"sempre tentando encontrá-los."
"BIGGS";"Eu sei que é um tiro no escuro, mas se eu não encontrá-los, farei o que puder sozinho... É sobre o que sempre conversamos. Luke, não vou espere que o Império me coloque em serviço. A Rebelião está se espalhando e eu quero estar do lado certo - do lado em que acredito."
"LUKE";"E eu estou preso aqui..."
"BIGGS";"Pensei que você fosse para a Academia no próximo semestre. Você terá a chance de sair dessa rocha."
"LUKE";"Não é provável! Tive que cancelar minha inscrição. Tem havido muita agitação entre o Povo da Areia desde que você partiu... eles até invadiram os arredores de Anchorhead."
"BIGGS";"Seu tio poderia deter uma colônia inteira de Povos da Areia com um blaster."
"LUKE";"Eu sei, mas ele tem vaporizadores suficientes para fazer o lugar valer a pena. Ele precisa de mim por apenas mais uma temporada. Não posso deixá-lo agora."
"BIGGS";"Sinto por você, Luke, você vai ter que aprender o que parece ser importante ou o que realmente é importante. De que adianta todo o trabalho do seu tio se for tomado pelo Império?... Você sabe que eles estão começando a nacionalizar o comércio nos sistemas centrais... não demorará muito para que seu tio seja apenas um inquilino, escravizando para a maior glória do Império."
"LUKE";"Não poderia acontecer aqui. Você mesmo disse. O Império não vai se incomodar com essa pedra."
"BIGGS";"As coisas sempre mudam."
"LUKE";"Eu gostaria de ir... Você vai ficar muito tempo aqui?"
"BIGGS";"Não, estou saindo de manhã..."
"LUKE";"Então acho que não vou te ver."
"BIGGS";"Talvez um dia... eu fique de olho."
"LUKE";"Bem, estarei na Academia na próxima temporada... depois disso quem sabe. Não serei convocado para a Frota Estelar Imperial, com certeza... Cuide-se, você vai sempre ser o melhor amigo que eu tenho."
"BIGGS";"Até logo, Luke."
"THREEPIO";"Artoo-Detoo! É você! É você!"
"FIRST TROOPER";"Alguém estava na cápsula. Os rastros seguem nesta direção."
"SEGUNDO SOLDADO";"Olhe, senhor - droides."
"THREEPIO";"Acorde! Acorde!"
"THREEPIO";"Estamos condenados."
"THREEPIO";"Você acha que eles vão nos derreter?"
"THREEPIO";"Não atire! Não atire! Isso nunca vai acabar?"
"BERU";"Luke, diga ao Owen que se ele conseguir um tradutor para ter certeza de que fala bocha."
"LUKE";"Parece que não temos muita escolha, mas vou lembrá-lo."
"OWEN";"Não preciso de um dróide de protocolo."
"THREEPIO";"Senhor - não em um ambiente como este - é por isso que também fui programado para mais de trinta funções secundárias que..."
"OWEN";"O que eu realmente preciso é de um droide que entenda as linguagens binárias dos vaporizadores de umidade."
"THREEPIO";"Vaporadores! Senhor - Meu primeiro trabalho foi programar elevadores de carga binários... muito semelhantes aos seus vaporizadores. Você poderia dizer..."
"OWEN";"Você fala bocha?"
"THREEPIO";"Claro que posso, senhor. É como uma segunda língua para mim... sou tão fluente em bocha..."
"OWEN";"Tudo bem; cale a boca! Vou ficar com este."
"THREEPIO";"Cala a boca, senhor."
"OWEN";"Luke, leve esses dois para a garagem, sim? Eu quero que você limpe os dois antes do jantar."
"LUKE";"Mas eu estava entrando na Toshi Station para pegar alguns conversores de energia..."
"OWEN";"Você pode perder tempo com seus amigos quando suas tarefas terminarem. Agora, vamos lá, mãos à obra!"
"LUKE";"Tudo bem, vamos! E o vermelho, vamos. Bem, vamos, Vermelho, vamos."
"LUKE";"Tio Owen..."
"OWEN";"Sim?"
"LUKE";"Esta unidade R2 tem um motivador ruim. Olhe!"
"OWEN";"Ei, o que você está tentando empurrar para nós?"
"THREEPIO";"Com licença, senhor, mas essa unidade R2 está em ótimas condições. Uma verdadeira pechincha."
"LUKE";"Tio Owen..."
"OWEN";"Sim?"
"LUKE";"E aquele?"
"OWEN";"E aquele azul? Vamos levar aquele."
"LUKE";"Sim, tire isso."
"THREEPIO";"Uh, eu tenho certeza que você ficará muito satisfeito com isso, senhor. Ele realmente está em condições de primeira classe. Eu já trabalhei com ele antes. Lá vem ele."
"LUKE";"Ok, vamos."
"THREEPIO";"Agora, não se esqueça disso! Por que eu deveria arriscar meu pescoço por você está muito além da minha capacidade!"
"THREEPIO";"Obrigado ao fabricante! Este banho de óleo vai ser tão bom. Estou com um caso tão grave de contaminação por poeira que mal consigo me mexer!"
"LUKE";"Não é justo. Oh, Biggs está certo. Eu nunca vou sair daqui!"
"THREEPIO";"Há algo que eu possa fazer para ajudar?"
"LUKE";"Bem, a menos que você possa alterar o tempo, acelerar a colheita ou me teletransportar para fora desta rocha!"
"THREEPIO";"Acho que não, senhor. Sou apenas um droide e não tenho muito conhecimento sobre essas coisas. Não neste planeta, de qualquer maneira. Na verdade, nem tenho certeza de qual planeta em que estou."
"LUKE";"Bem, se há um centro brilhante no universo, você está no planeta mais distante."
"THREEPIO";"Entendo, senhor."
"LUKE";"Uh, você pode me chamar de Luke."
"THREEPIO";"Entendo, senhor Luke."
"LUKE";"Só Luke."
"THREEPIO";"E eu sou See-Threepio, relações humano-ciborgue, e esta é minha contraparte, Artoo-Detoo."
"LUKE";"Olá."
"LUKE";"Você tem um monte de pontuação de carbono aqui. Parece que vocês rapazes viram muita ação."
"THREEPIO";"Com tudo o que passamos, às vezes fico surpreso por estarmos em tão boas condições quanto estamos, com a Rebelião e tudo mais."
"LUKE";"Você sabe da Rebelião contra o Império?"
"THREEPIO";"Foi assim que chegamos a seu serviço, se é que me entende, senhor."
"LUKE";"Você esteve em muitas batalhas?"
"THREEPIO";"Vários, eu acho. Na verdade, não há muito para contar. Eu não sou muito mais do que um intérprete, e não sou muito bom em contar histórias. Bem, não em torná-las interessantes, de qualquer maneira."
"LUKE";"Bem, meu amiguinho, você tem algo muito bom aqui. Você estava em um cruzador estelar ou..."
"LEIA";"Ajude-me, Obi-Wan Kenobi. Você é minha única esperança."
"LUKE";"O que é isso?"
"THREEPIO";"O que é o quê?!? Ele te fez uma pergunta... O que é isso?"
"LEIA";"Ajude-me, Obi-Wan Kenobi. Você é minha única esperança. Ajude-me, Obi-Wan Kenobi. Você é minha única esperança."
"THREEPIO";"Ah, ele diz que não é nada, senhor. Apenas um mau funcionamento. Dados antigos. Não ligue para isso."
"LUKE";"Quem é ela? Ela é linda."
"THREEPIO";"Acho que não tenho certeza, senhor."
"LEIA";"Ajude-me, Obi-Wan Kenobi..."
"THREEPIO";"Acho que ela era uma passageira em nossa última viagem. Uma pessoa de alguma importância, senhor - acredito. Nosso capitão estava ligado a..."
"LUKE";"Há mais alguma coisa nessa gravação?"
"THREEPIO";"Comporte-se, Artoo. Você vai nos colocar em apuros. Está tudo bem, você pode confiar nele. Ele é nosso novo mestre."
"THREEPIO";"Ele diz que é propriedade de Obi-Wan Kenobi, um morador por aqui. E é uma mensagem particular para ele. Francamente, senhor, não sei do que ele está falando. Nosso último mestre era o Capitão Antilles, mas com o que passamos, essa pequena unidade R2 se tornou um pouco excêntrica."
"LUKE";"Obi-Wan Kenobi? Será que ele quer dizer o velho Ben Kenobi?"
"THREEPIO";"Desculpe, senhor, mas você sabe do que ele está falando?"
"LUKE";"Bem, eu não conheço ninguém chamado Obi-Wan, mas o velho Ben mora além do mar das dunas. Ele é meio que um velho eremita estranho."
"LUKE";"Eu me pergunto quem ela é. Parece que ela está com problemas. É melhor eu reproduzir a coisa toda."
"THREEPIO";"Ele diz que o parafuso de restrição causou um curto-circuito em seu sistema de gravação. Ele sugere que, se você remover o parafuso, ele poderá reproduzir a gravação inteira."
"LUKE";"Hm? Oh, sim, bem, eu acho que você é muito pequeno para fugir de mim se eu tirar isso! Ok."
"LUKE";"Aí está."
"LUKE";"Bem, espere um minuto. Para onde ela foi? Traga-a de volta! Reproduza a mensagem inteira."
"THREEPIO";"estou tocando. O que você está carregando dentro de suas entranhas enferrujadas!"
"TIA BERU";"Luke? Luke! Venha jantar!"
"LUKE";"Tudo bem, já estarei aí, tia Beru."
"THREEPIO";"Sinto muito, senhor, mas ele parece ter pegado uma leve vibração."
"LUKE";"Bem, veja o que você pode fazer com ele. Eu já volto."
"THREEPIO";"Apenas reconsidere jogar essa mensagem para ele."
"THREEPIO";"Não, acho que ele não gosta nada de você."
"THREEPIO";"Não, eu também não gosto de você."
"LUKE";"Sabe, acho que aquela unidade R2 que compramos pode ter sido roubada."
"OWEN";"O que te faz pensar isso?"
"LUKE";"Bem, eu encontrei uma gravação enquanto estava limpando ele. Ele diz que pertence a alguém chamado Obi-Wan Kenobi."
"LUKE";"Pensei que ele pudesse estar se referindo a Ben. Você sabe do que ele está falando? Bem, eu me pergunto se ele é parente de Ben."
"OWEN";"Aquele velho é apenas um mago maluco. Amanhã eu quero que você leve aquela unidade R2 para Anchorhead e tenha sua memória limpa. Isso será o fim de tudo. Ela pertence a nós agora."
"LUKE";"Mas e se esse Obi-Wan vier procurá-lo?"
"OWEN";"Ele não vai, acho que não existe mais. Ele morreu mais ou menos na mesma época que seu pai."
"LUKE";"Ele conhecia meu pai?"
"OWEN";"Eu disse para você esquecer. Sua única preocupação é preparar os novos droides para amanhã. De manhã eu os quero no cume sul trabalhando nesses condensadores."
"LUKE";"Sim, senhor. Acho que esses novos droides vão funcionar bem. Na verdade, eu, uh, também estava pensando em nosso acordo sobre minha permanência em outra temporada. E se esses novos droides funcionarem fora, quero transmitir minha inscrição para a Academia este ano."
"OWEN";"Você quer dizer o próximo semestre antes da colheita?"
"LUKE";"Claro, há dróides mais do que suficientes."
"OWEN";"A colheita é quando eu mais preciso de você. Só mais uma temporada. Este ano vamos fazer o suficiente na colheita para que eu possa contratar mais algumas mãos. E então você pode ir para o Academia no ano que vem."
"OWEN";"Você deve entender que eu preciso de você aqui, Luke."
"LUKE";"Mas é um ano inteiro."
"OWEN";"Olha, é só mais uma temporada."
"LUKE";"É, foi isso que você disse ano passado quando Biggs e Tank foram embora."
"TIA BERU";"Onde você vai?"
"LUKE";"Parece que não vou a lugar nenhum. Tenho que terminar de limpar esses droides."
"TIA BERU";"Owen, ele não pode ficar aqui para sempre. A maioria de seus amigos se foi. Significa muito para ele."
"OWEN";"Vou fazer as pazes com ele no ano que vem. Eu prometo."
"TIA BERU";"Luke não é um fazendeiro, Owen. Ele tem muito do pai nele."
"OWEN";"É disso que tenho medo."
"LUKE";"O que você está fazendo escondido aí?"
"THREEPIO";"Não foi minha culpa, senhor. Por favor, não me desative. Eu disse a ele para não ir, mas ele está com defeito, com defeito; continuou tagarelando sobre sua missão."
"LUKE";"Ah, não!"
"THREEPIO";"Aquela unidade R2 sempre foi um problema. Esses astrodroides estão ficando fora de controle. Nem eu consigo entender a lógica deles às vezes."
"LUKE";"Como eu pude ser tão estúpido? Ele não está à vista. Que droga!"
"THREEPIO";"Perdoe-me, senhor, mas não poderíamos ir atrás dele?"
"LUKE";"É muito perigoso com todo o Povo da Areia ao redor. Teremos que esperar até de manhã."
"OWEN";"Luke, vou desligar a energia esta noite."
"LUKE";"Tudo bem, estarei aí em alguns minutos. Cara, eu vou pegar."
"LUKE";"Você sabe que aquele pequeno droide vai me causar muitos problemas."
"THREEPIO";"Oh, ele é excelente nisso, senhor."
"OWEN";"Luke? Luke? Luke? Onde ele poderia estar vadiando agora!"
"OWEN";"Você viu Luke esta manhã?"
"TIA BERU";"Ele disse que tinha algumas coisas para fazer antes de começar hoje, então ele saiu mais cedo."
"OWEN";"Uh? Ele levou esses dois novos droides com ele?"
"TIA BERU";"Acho que sim."
"OWEN";"Bem, é melhor ele mandar consertar aquelas unidades na faixa sul ao meio-dia ou vai ser um inferno a pagar!"
"LUKE";"Como assim."
"LUKE";"O velho Ben Kenobi mora nesta direção em algum lugar, mas não vejo como aquela unidade R2 poderia ter chegado tão longe. Devemos ter perdido ele. Tio Owen não vai aceitar isso muito bem. ."
"THREEPIO";"Senhor, ajudaria se você dissesse a ele que foi minha culpa."
"LUKE";"Claro. Ele precisa de você. Ele provavelmente só desativaria você por um ou dois dias..."
"THREEPIO";"Desativar! Bem, por outro lado, se você não tivesse removido o parafuso de retenção dele..."
"LUKE";"Espere, há algo morto à frente no scanner. Parece que nosso droide... pisou no acelerador."
"LUKE";"Ei, uau, aonde você pensa que está indo?"
"THREEPIO";"Mestre Luke aqui é o seu legítimo dono. Não vamos ter mais essa bobagem de Obi-Wan Kenobi... e não fale comigo sobre sua missão também. Você tem sorte que ele não não explodir você em um milhão de pedaços bem aqui."
"LUKE";"Bem, vamos lá. Está ficando tarde. Só espero que possamos voltar antes que o tio Owen realmente exploda."
"THREEPIO";"Se não se importa que eu diga, senhor, acho que deveria desativar o pequeno fugitivo até levá-lo de volta à sua oficina."
"LUKE";"Não, ele não vai tentar nada."
"LUKE";"O que há de errado com ele agora?"
"THREEPIO";"Oh meu... senhor, ele diz que há várias criaturas se aproximando do sudeste."
"LUKE";"Pessoa da Areia! Ou pior! Vamos, vamos dar uma olhada. Vamos."
"LUKE";"Há dois Banthas lá embaixo, mas eu não vejo nenhum... espere um segundo, eles são do Povo da Areia. Eu posso ver um deles agora."
"BEN";"Olá! Venha cá meu amiguinho. Não tenha medo."
"BEN";"Não se preocupe, ele vai ficar bem."
"LUKE";"O que aconteceu?"
"BEN";"Descanse, filho, você teve um dia agitado. Você tem sorte de ainda estar inteiro."
"LUKE";"Ben? Ben Kenobi! Rapaz, estou feliz em ver você!"
"BEN";"Os Ermos de Jundland não devem ser percorridos de ânimo leve. Diga-me, jovem Luke, o que o traz até aqui?"
"LUKE";"Ah, esse pequeno droide! Acho que ele está procurando por seu antigo mestre... nunca vi tanta devoção em um droide antes... parece que não há como pará-lo. Ele afirma ser o propriedade de um Obi-Wan Kenobi. Ele é um parente seu? Você sabe de quem ele está falando?
"
"BEN";"Obi-Wan Kenobi... Obi-Wan? Esse é um nome que eu não ouvia há muito tempo... muito tempo."
"LUKE";"Acho que meu tio o conhecia. Ele disse que estava morto."
"BEN";"Oh, ele não está morto, não... ainda não."
"LUKE";"Você o conhece!"
"BEN";"Bem, é claro, é claro que eu o conheço. Ele sou eu! Eu não uso o nome Obi-Wan desde oh, antes de você nascer."
"LUKE";"Então o droide pertence a você."
"BEN";"Não me lembro de ter tido um droide. Muito interessante..."
"BEN";"Acho melhor entrarmos em casa. O Povo da Areia se assusta facilmente, mas logo estará de volta e em maior número."
"LUKE";"... Threepio!"
"THREEPIO";"Onde estou? Devo ter dado um mau passo..."
"LUKE";"Você pode ficar de pé? Temos que sair daqui antes que o Povo da Areia retorne."
"THREEPIO";"Acho que não vou conseguir. Continue, Mestre Luke. Não faz sentido você se arriscar por minha causa. Estou acabado."
"LUKE";"Não, você não está. Que tipo de conversa é essa?"
"BEN";"Rápido, filho... eles estão em movimento."
"LUKE";"Não, meu pai não lutou nas guerras. Ele era um navegador em um cargueiro de especiarias."
"BEN";"Isso é o que seu tio lhe disse. Ele não se apegou aos ideais de seu pai. Achei que ele deveria ter ficado aqui e não se envolvido."
"LUKE";"Você lutou nas Guerras Clônicas?"
"BEN";"Sim, eu já fui um Cavaleiro Jedi igual ao seu pai."
"LUKE";"Eu gostaria de tê-lo conhecido."
"BEN";"Ele era o melhor piloto estelar da galáxia, e um guerreiro astuto. Eu entendo que você também se tornou um bom piloto. E ele era um bom amigo. O que me lembra..."
"BEN";"Eu tenho algo aqui para você. Seu pai queria que você tivesse isso quando tivesse idade suficiente, mas seu tio não permitiria. Ele temia que você pudesse seguir o velho Obi-Wan em algum maldito idiota. cruzada idealista como seu pai fez."
"THREEPIO";"Senhor, se você não vai precisar de mim, eu vou fechar por um tempo."
"LUKE";"Claro, vá em frente."
"LUKE";"O que é?"
"BEN";"Sabre de luz de seu pai. Esta é a arma de um Cavaleiro Jedi. Não tão desajeitado ou aleatório como um blaster."
"BEN";"Uma arma elegante para uma época mais civilizada. Por mais de mil gerações os Cavaleiros Jedi foram os guardiões da paz e da justiça na Velha República. Antes dos tempos sombrios, antes do Império."
"LUKE";"Como meu pai morreu?"
"BEN";"Um jovem Jedi chamado Darth Vader, que foi meu pupilo até se tornar maligno, ajudou o Império a caçar e destruir os Cavaleiros Jedi. Ele traiu e assassinou seu pai. Agora os Jedi são tudo menos extinto. Vader foi seduzido pelo lado negro da Força."
"LUKE";"A Força?"
"BEN";"Bem, a Força é o que dá ao Jedi seu poder. É um campo de energia criado por todas as coisas vivas. Ela nos cerca e penetra. Ela une a galáxia."
"BEN";"Agora, vamos ver se não conseguimos descobrir o que você é, meu amiguinho. E de onde você vem."
"LUKE";"Vi parte da mensagem que ele estava..."
"BEN";"Parece que encontrei."
"LEIA";"General Kenobi, anos atrás você serviu meu pai nas Guerras Clônicas. Agora ele implora que você o ajude em sua luta contra o Império. Lamento não poder apresentar o pedido de meu pai a você pessoalmente , mas minha nave caiu sob ataque e temo que minha missão de trazê-lo para Alderaan tenha falhado. Coloquei informações vitais para a sobrevivência da Rebelião nos sistemas de memória desta unidade R2. Meu pai saberá como recuperar Você deve entregar este droide com segurança a ele em Alderaan. Esta é a nossa hora mais desesperada. Ajude-me, Obi-Wan Kenobi, você é minha única esperança.
"
"BEN";"Você deve aprender os caminhos da Força se quiser vir comigo para Alderaan."
"LUKE";"Alderaan? Eu não estou indo para Alderaan. Eu tenho que ir para casa. É tarde, eu estou pronto para isso."
"BEN";"Preciso da sua ajuda, Luke. Estou ficando velho demais para esse tipo de coisa. Ela precisa da sua ajuda."
"LUKE";"Eu não posso me envolver! Eu tenho trabalho a fazer! Não é que eu goste do Império. Eu odeio isso! Mas não há nada que eu possa fazer sobre isso agora. É um longo caminho daqui."
"BEN";"É o seu tio falando."
"LUKE";"Oh, Deus, meu tio. Como vou explicar isso?"
"BEN";"Aprenda sobre a Força, Luke."
"LUKE";"Olha, eu posso te levar até Anchorhead. Você pode pegar um transporte lá para Mos Eisley ou onde quer que você vá."
"BEN";"Você deve fazer o que acha certo, é claro."
"TAGGE";"Até que esta estação de batalha esteja totalmente operacional, estamos vulneráveis. A Aliança Rebelde está muito bem equipada. Eles são mais perigosos do que você imagina."
"MOTTI";"Perigoso para sua Frota Estelar, Comandante; não para esta estação de batalha!"
"TAGGE";"A Rebelião continuará ganhando apoio no Senado Imperial enquanto..."
"TARKIN";"O Senado Imperial não será mais uma preocupação para nós. Acabei de receber a notícia de que o Imperador dissolveu o conselho permanentemente. Os últimos remanescentes da Velha República foram varridos."
"TAGGE";"Isso é impossível! Como o Imperador manterá o controle sem a burocracia?"
"TARKIN";"Os governadores regionais agora têm controle direto sobre os territórios. O medo manterá os sistemas locais na linha. Medo desta estação de batalha."
"TAGGE";"E a Rebelião? Se os Rebeldes obtiveram uma leitura técnica completa desta estação, é possível, embora improvável, que encontrem uma fraqueza e a explorem."
"VADER";"Os planos a que se refere em breve estarão de volta em nossas mãos."
"MOTTI";"Qualquer ataque feito pelos rebeldes contra esta estação seria um gesto inútil, não importa quais dados técnicos eles tenham obtido. Esta estação é agora o poder supremo do universo. Sugiro que a usemos!"
"VADER";"Não se orgulhe muito desse terror tecnológico que você construiu. A capacidade de destruir um planeta é insignificante perto do poder da Força."
"MOTTI";"Não tente nos assustar com seus modos de feiticeiro, Lorde Vader. Sua triste devoção a essa antiga religião não o ajudou a evocar as fitas de dados roubadas, nem lhe deu clarividência suficiente para encontrar o esconderijo do Rebelde. forte..."
"VADER";"Acho sua falta de fé perturbadora."
"TARKIN";"Chega disso! Vader, solte-o!"
"VADER";"Como desejar."
"TARKIN";"Esta briga é inútil. Lord Vader nos fornecerá a localização da fortaleza Rebelde quando esta estação estiver operacional. Nós então esmagaremos a Rebelião com um golpe rápido."
"LUKE";"Parece que o Povo da Areia fez isso, tudo bem. Olha, aqui estão gafes, faixas de bantha. É só que... eu nunca ouvi falar deles batendo em algo tão grande antes."
"BEN";"Eles não o fizeram. Mas devemos pensar que sim. Essas faixas estão lado a lado. Areia As pessoas sempre andam em fila indiana para esconder seus números."
"LUKE";"Estes são os mesmos Jawas que nos venderam Artoo e Threepio."
"BEN";"E esses pontos de explosão, precisos demais para o Povo da Areia. Apenas tropas de assalto imperiais são tão precisas."
"LUKE";"Por que as tropas imperiais querem matar Jawas?"
"LUKE";"Se eles rastrearam os robôs aqui, eles podem ter descoberto para quem eles os venderam. E isso os levaria de volta para casa!"
"BEN";"Espere, Luke! É muito perigoso."
"LUKE";"Tio Owen! Tia Beru! Tio Owen!"
"VADER";"E, agora, Sua Alteza, vamos discutir a localização de sua base Rebelde escondida."
"BEN";"Não há nada que você poderia ter feito, Luke, se você estivesse lá. Você teria sido morto também, e os droides agora estariam nas mãos do Império."
"LUKE";"Eu quero ir com você para Alderaan. Não há nada aqui para mim agora. Eu quero aprender os caminhos da Força e me tornar um Jedi como meu pai."
"BEN";"Porto Espacial de Mos Eisley. Você nunca encontrará uma colméia mais miserável de escória e vilania. Devemos ser cautelosos."
"TROOPER";"Há quanto tempo você tem esses droides?"
"LUKE";"Cerca de três ou quatro temporadas."
"BEN";"Estão à venda se você quiser."
"SOLDADO";"Deixe-me ver sua identificação."
"BEN";"Você não precisa ver a identificação dele."
"TROOPER";"Não precisamos ver a identificação dele."
"BEN";"procurando."
