"personagem";"diálogo"
"HAN";"Coloque-os juntos novamente agora mesmo."
"THREEPIO";"Posso ter uma palavrinha com você, por favor?"
"HAN";"O que você quer?"
"THREEPIO";"Bem, é a princesa Leia, senhor. Ela está tentando colocá-lo no comunicador."
"HAN";"Eu desliguei. Não quero falar com ela."
"THREEPIO";"Ah. Bem, a Princesa Leia está se perguntando sobre o Mestre Luke. Ele ainda não voltou. Ela não sabe onde ele está."
"HAN";"Não sei onde ele está."
"THREEPIO";"Ninguém sabe onde ele está."
"HAN";"O que você quer dizer com \"
"THREEPIO";"Bem, uh, você vê..."
"HAN";"Oficial de convés. Oficial de convés!"
"THREEPIO";"Com licença, senhor. Posso inqu-..."
"OFICIAL DE CONVÉS";"Sim, senhor?"
"HAN";"Você sabe onde o Comandante Skywalker está?"
"OFICIAL DE CONVÉS";"Eu não o vi. É possível que ele tenha entrado pela entrada sul."
"HAN";"É possível? Por que você não vai descobrir? Está ficando escuro lá fora."
"OFICIAL DE CONVÉS";"Sim, senhor."
"THREEPIO";"Com licença, senhor. Posso perguntar o que está acontecendo?"
"HAN";"Por que não?"
"THREEPIO";"Homem impossível. Venha, Artoo, vamos encontrar a princesa Leia. Cá entre nós, acho que o mestre Luke está em perigo considerável."
"OFICIAL DE CONVÉS";"Senhor, o Comandante Skywalker não entrou pela entrada sul. Ele pode ter esquecido de fazer o check-in."
"HAN";"Não é provável. Os speeders estão prontos?"
"OFICIAL DO CONVÉS";"Ainda não. Estamos tendo problemas para adaptá-los ao frio."
"HAN";"Então teremos que sair em Tauntauns."
"OFICIAL DO CONVÉS";"Senhor, a temperatura está caindo muito rápido."
"HAN";"Isso mesmo. E meus amigos lá fora."
"OFICIAL ASSISTENTE";"Vou cobrir o setor doze. Faça com que o com-controle configure a tela alfa."
"OFICIAL DE CONVÉS";"Seu Tauntaun vai congelar antes de você chegar ao primeiro marcador."
"HAN";"Então eu te vejo no inferno!"
"THREEPIO";"Você deve vir agora, Artoo. Não há realmente mais nada que possamos fazer. E minhas articulações estão congelando."
"THREEPIO";"Não diga coisas assim! Claro que vamos ver o Mestre Luke novamente. Ele vai ficar bem, você vai ver. Curto-circuito estúpido. Ele vai ficar bem."
"TENENTE";"Senhor, todas as patrulhas estão dentro. Ainda não há contato de Skywalker ou Solo."
"THREEPIO";"Senhora Leia, Artoo diz que tem sido incapaz de captar qualquer sinal, embora admita que seu próprio alcance é fraco demais para abandonar todas as esperanças."
"DERLIN";"Vossa Alteza, não há mais nada que possamos fazer esta noite. As portas blindadas devem estar fechadas."
"DERLIN";"Feche as portas."
"TENENTE";"Sim, senhor."
"THREEPIO";"Artoo diz que as chances de sobrevivência são setecentas e setenta e cinco... para uma."
"THREEPIO";"Na verdade, Artoo é conhecido por cometer erros... de tempos em tempos. Oh, querido, oh, querido. Não se preocupe com o Mestre Luke. Tenho certeza de que ele ficará bem. . Ele é bastante inteligente, você sabe... para um ser humano."
"BEN";"Luke...Luke."
"LUKE";"Ben?"
"BEN";"Você irá para o sistema Dagobah."
"LUKE";"Sistema Dagobah?"
"BEN";"Lá você aprenderá com Yoda, o Mestre Jedi que me instruiu."
"LUKE";"Ben...Ben."
"HAN";"Luke! Luke! Não faça isso, Luke. Vamos, me dê um sinal aqui."
"HAN";"Não muito tempo."
"LUKE";"Ben...Ben..."
"HAN";"Espere aí, garoto."
"LUKE";"Sistema Dagobah..."
"HAN";"Ufa..."
"LUKE";"Dagobah..."
"HAN";"Isso pode cheirar mal, garoto..."
"LUKE";"Yoda..."
"HAN";"...mas vai te manter aquecido...até eu construir o abrigo. Ooh...eu pensei que eles cheiravam mal do lado de fora!"
"ZEV";"Echo Base... eu tenho algo! Não muito, mas pode ser uma forma de vida."
"ZEV";"Este é o Rouge Two. este é o Rouge Two. Capitão Solo, então você copia? Comandante Skywalker, você copia? Este é o Rouge Two."
"HAN";"Bom dia. Que bom que vocês vieram."
"ZEV";"Echo Base... aqui é Rouge Two. Eu os encontrei. Repito, eu os encontrei."
"THREEPIO";"Mestre Luke, senhor, é bom vê-lo totalmente funcional novamente."
"THREEPIO";"Artoo expressa seu alívio também."
"HAN";"Como você está se sentindo, garoto? Você não parece tão ruim para mim. Na verdade, você parece forte o suficiente para arrancar as orelhas de um Gundark."
"LUKE";"Graças a você."
"HAN";"São dois que você me deve, júnior."
"HAN";"Bem, Meritíssimo, parece que você conseguiu me manter por perto por mais um tempo."
"LEIA";"Eu não tive nada a ver com isso. O General Rieekan acha que é perigoso para qualquer nave deixar o sistema até que tenhamos ativado o escudo de energia."
"HAN";"Essa é uma boa história. Eu acho que você simplesmente não consegue deixar um cara lindo como eu fora de sua vista."
"LEIA";"Não sei de onde você tira seus delírios, cérebro de laser."
"HAN";"Ria disso, bola fuzz. Mas você não nos viu sozinhos na passagem sul."
"HAN";"Ela expressou seus verdadeiros sentimentos por mim."
"LEIA";"Meu...! Ora, você metido,... estúpido,... de aparência desalinhada... nerf-herder!"
"HAN";"Quem é de aparência desalinhada? Eu devo ter acertado ela bem perto da marca para deixá-la toda irritada assim, hein, garoto?"
"LEIA";"Ora, acho que você ainda não sabe tudo sobre as mulheres?"
"LOCUTOR";"Pessoal do quartel-general, reporte-se ao centro de comando."
"HAN";"Acalme-se."
"THREEPIO";"Com licença, por favor."
"RIEEKAN";"Princesa... temos uma visita."
"RIEEKAN";"Pegamos algo fora da base na zona doze, movendo-se para o leste."
"CONTROLADOR SÊNIOR";"É metal."
"LEIA";"Então não pode ser uma daquelas criaturas que atacaram Luke."
"HAN";"Pode ser um speeder, um dos nossos."
"CONTROLADOR SÊNIOR";"Não. Espere - há algo muito fraco chegando."
"THREEPIO";"Senhor, sou fluente em seis milhões de formas de comunicação. Este sinal não é usado pela Aliança. Pode ser um código imperial."
"HAN";"Não é amigável, seja lá o que for. Vamos, Chewie, vamos dar uma olhada."
"RIEEKAN";"Envie Rouges Dez e Onze para a estação três e oito."
"HAN";"Receio que não sobrou muito."
"LEIA";"O que foi?"
"HAN";"Droid de algum tipo. Eu não bati com tanta força. Deve ter se autodestruído."
"LEIA";"Um droide sonda imperial."
"HAN";"É uma boa aposta que o Império sabe que estamos aqui."
"RIEEKAN";"É melhor começarmos a evacuação."
"PIETT";"Almirante."
"OZZEL";"Sim, Capitão"
"PIETT";"Acho que temos alguma coisa, senhor. O relatório é apenas um fragmento."
"OZZEL";"Temos milhares de droides sondas vasculhando a galáxia. Quero provas, não pistas!"
"PIETT";"Os visuais indicam leituras de vida."
"OZZEL";"Pode significar qualquer coisa. Se seguirmos todas as pistas..."
"PIETT";"Mas, senhor, supõe-se que o sistema Hoth seja desprovido de formas humanas."
"VADER";"Você encontrou alguma coisa?"
"PIETT";"Sim, meu senhor."
"VADER";"É isso. Os rebeldes estão lá."
"OZZEL";"Meu senhor, existem tantos assentamentos desconhecidos. Podem ser contrabandistas, podem ser..."
"VADER";"Esse é o sistema. E tenho certeza que Skywalker está com eles. Defina seu curso para o sistema Hoth. General Veers, preparem vocês homens."
"REBEL CAPTAIN";"Os grupos sete e dez ficarão para trás para pilotar os speeders. Assim que cada transporte estiver carregado, o controle de evacuação dará autorização para lançamento imediato."
"LUTADOR REBELDE";"Certo, senhor."
"HAN";"Ok, é isso. Experimente... Desligue! Desligue! Desligue! Desligue!"
"DROIDE MÉDICO";"Senhor, vai demorar um pouco para evacuar os T-47s."
"LUKE";"Bem, esqueça o equipamento pesado. Há muito tempo para colocar os módulos menores nos transportes."
"DROIDE MÉDICO";"Cuidado, senhor."
"LUKE";"Obrigado."
"LUKE";"Chewie, cuide-se, ok?"
"HAN";"Oi, garoto. Deve haver uma razão para isso. Verifique na outra extremidade. Espere um segundo. Você está bem?"
"LUKE";"Sim."
"HAN";"Tenha cuidado."
"LUKE";"Você também."
"CONTROLADOR";"General, há uma frota de Star Destroyers saindo do hiperespaço no setor quatro."
"RIEEKAN";"Redirecione toda a energia para o escudo de energia. Temos que segurá-los até que todos os transportes se afastem. Prepare-se para o ataque terrestre."
"VADER";"O que é, General?"
"VEERS";"Meu senhor, a frota saiu da velocidade da luz. O Com-Scan detectou um campo de energia protegendo uma área ao redor do sexto planeta do sistema Hoth. O campo é forte o suficiente para desviar qualquer bombardeio. "
"VADER";"Os rebeldes foram alertados de nossa presença. O almirante Ozzel saiu da velocidade da luz muito perto do sistema."
"VEERS";"Ele achou que a surpresa era mais sábia..."
"VADER";"Ele é tão desajeitado quanto estúpido. General, prepare suas tropas para um ataque de superfície."
"VIAR";"Sim, meu senhor."
"OZZEL";"Lorde Vader, a frota saiu da velocidade da luz, e estamos nos preparando para... Aaagh!"
"VADER";"Você falhou comigo pela última vez, Almirante. Capitão Piett."
"PIETT";"Sim, meu senhor."
"VADER";"Prepare-se para desembarcar tropas além do escudo de energia e desdobre a frota para que nada saia desse sistema. Você está no comando agora, Almirante Piett."
"PIETT";"Obrigado, Lord Vader."
"LEIA";"Todos os transportadores de tropas se reunirão na entrada norte. Os navios de transporte pesado sairão assim que forem carregados. Apenas duas escoltas de caça por navio. O escudo de energia só pode ser aberto por um curto período de tempo, então você terá que ficar muito perto de seus transportes."
"HOBBIE";"Dois caças contra um Star Destroyer?"
"LEIA";"O canhão de íons irá disparar vários tiros para garantir que qualquer nave inimiga esteja fora de sua rota de vôo. Quando você passar pelo escudo de energia, prossiga diretamente para o ponto de encontro. Entendido?"
"PILOTOS";"Certo. Certo."
"LEIA";"Boa sorte."
"DERLIN";"Ok. Todos para seus postos. Vamos!"
"RIEEKAN";"Seu alvo principal serão os geradores de energia. Prepare-se para abrir o escudo."
"CONTROLADOR";"Senhor, naves rebeldes estão entrando em nosso setor."
"CAPTAIN";"Bom. Nossa primeira captura do dia."
"CONTROLADOR DE MULHER";"Aguarde, controle de íons....Fogo!"
"LOCUTOR";"O primeiro transporte está longe."
"DACK";"Sentindo-se bem, senhor?"
"LUKE";"Como novo, Dack. E você?"
"DACK";"Neste momento eu sinto que poderia enfrentar todo o Império sozinho."
"LUKE";"Eu sei o que você quer dizer."
"OFICIAL DE TRENCH";"Estação Eco Três-T-Oito."
"OFICIAL DE TRENCH";"Nós avistamos caminhantes imperiais!"
"CONTROLADOR";"Caminhantes imperiais no cume norte."
"LUKE";"Echo station Five-Seven. Estamos a caminho."
"LUKE";"Tudo bem, rapazes, mantenham-se firmes agora."
"DACK";"Luke, não tenho vetor de aproximação. Não estou pronto."
"LUKE";"Firme, Dack. Delta do padrão de ataque. Vá agora!"
"LUKE";"Tudo bem, estou entrando."
"LUKE";"Hobbie, você ainda está comigo?"
"LUKE";"Essa armadura é muito forte para blasters."
"LUKE";"Grupo Rouge, use seus arpões e cabos de reboque. Vá para as pernas. Pode ser nossa única chance de detê-los. Tudo bem, espere, Dack."
"DACK";"Luke, temos um defeito no controle de fogo. Vou ter que cortar o auxiliar."
"LUKE";"Aguente firme. Aguente firme, Dack. Prepare-se para disparar aquele cabo de reboque."
"LUKE";"Dack? Dack!"
"VEERS";"Sim, Lorde Vader. Alcancei o gerador de energia principal. O escudo cairá em instantes. Você pode começar a aterrissar."
"LUKE";"Rouge Três."
"WEDGE";"Copiar, Líder Rouge"
"LUKE";"Wedge, eu perdi meu artilheiro. Você vai ter que fazer esse tiro. Eu vou cobrir você. Coloque seu arpão. Siga-me na próxima passagem."
"CUNHA";"Aproximando-se, Líder Rouge."
"LUKE";"Firme, Rouge Dois"
"CUNHA";"Ativar arpão."
"WEDGE";"Bom tiro, Janson."
"CUNHA";"Mais uma passagem."
"JANSON";"Aproximando-se. Mais uma vez."
"JANSON";"Mais um."
"JANSON";"Cabo fora! Solte-a!"
"CUNHA";"Desconecte o cabo."
"JANSON";"Cabo desconectado."
"OFICIAL DE trincheira";"Vamos!"
"WEDGE";"Whooha!! Isso o pegou!"
"LUKE";"Entendo, Wedge. Bom trabalho."
"RIEEKAN";"Acho que não podemos proteger dois transportes ao mesmo tempo."
"LEIA";"É arriscado, mas não podemos aguentar muito mais tempo. Não temos escolha."
"RIEEKAN";"Lançar patrulhas."
"LEIA";"Evacuar o pessoal de terra restante."
"HAN";"Não, não! Não! Este vai lá, aquele vai lá. certo?"
"THREEPIO";"Artoo, você cuida bem do Mestre Luke agora, entendeu? E... cuide de si mesmo. Oh, querido, oh, querido."
"VEERS";"Todas as tropas vão desembarcar para o ataque terrestre. Preparem-se para atingir o gerador principal."
"LUKE";"Rouge Dois, você está bem?"
"ZEV";"Sim. Estou com você, Líder Rouge."
"LUKE";"Vamos colocar o arpão. Eu cubro você."
"ZEV";"Vindo por aí."
"LUKE";"Cuidado com o fogo cruzado, rapazes."
"ZEV";"Definido para a posição três. Estável."
"LUKE";"Fique firme e abaixado."
"LUKE";"Hobbie, fui atingido!"
"HAN";"Você está bem?"
"LEIA";"Por que você ainda está aqui?"
"HAN";"Ouvi dizer que o centro de comando foi atingido."
"LEIA";"Você tem autorização para sair."
"HAN";"Não se preocupe. Eu vou embora. Primeiro eu vou levar você para o seu navio."
"THREEPIO";"Vossa Alteza, devemos pegar este último transporte. É nossa única esperança."
"LEIA";"Envie todas as tropas do setor doze para a encosta sul para proteger os combatentes."
"LOCUTOR";"Tropas imperiais entraram na base."
"HAN";"Vamos lá... é isso."
"LEIA";"Dê o sinal do código de evacuação. E vá para os seus transportes!"
"CONTROLADOR PRINCIPAL";"K-um-zero... todas as tropas se desengajam."
"THREEPIO";"Oh! Espere por mim!"
"OFICIAL";"Comece a retirada!"
"SEGUNDA OFICIAL";"Recuar!"
"VIAR";"Distância para geradores de energia?"
"PILOTO";"Um-sete, decimal dois-oito."
"VIAR";"Alvo. Poder de fogo máximo."
"HAN";"Transporte, aqui é Solo. Melhor decolar -- não posso chegar até você. Vou tirar a princesa no Falcon."
"THREEPIO";"Mas... mas... mas... aonde você vai? Uh... volte!!"
"THREEPIO";"Espere! Espere por mim! Espere! Pare!"
"THREEPIO";"Que típico."
"HAN";"Vamos."
"HAN";"Apresse-se, Goldenrod, ou você será um residente permanente!"
"THREEPIO";"Espere! Espere!"
"HAN";"Como é isso?"
"LEIA";"Ajudaria se eu saísse e empurrasse?"
"HAN";"Pode."
"THREEPIO";"Capitão Solo, Capitão Solo... senhor, posso sugerir que você..."
"THREEPIO";"Pode esperar."
"LEIA";"O balde de ferrolhos nunca vai nos fazer passar por esse bloqueio."
"HAN";"Este bebê ainda tem algumas surpresas nela, querida."
"HAN";"Vamos! Vamos! Mude. Vamos torcer para que não tenhamos um esgotamento."
"HAN";"Viu?"
"LEIA";"Algum dia você vai errar, e espero estar lá para ver."
"HAN";"Soque!"
"LUKE";"Artoo! Prepare-a para a decolagem."
"WEDGE";"Boa sorte, Luke. Vejo você no encontro."
"LUKE";"Não se preocupe, Artoo. Estamos indo, estamos indo."
"LUKE";"Não há nada de errado, Artoo. Estou apenas estabelecendo um novo curso."
"LUKE";"Não vamos nos reagrupar com os outros."
"LUKE";"Estamos indo para o sistema Dagobah."
"LUKE";"Sim, Artoo?"
"LUKE";"Tudo bem. Eu gostaria de mantê-lo no controle manual por um tempo."
"HAN";"Eu os vi! Eu os vi!"
"LEIA";"Viu o quê?"
"HAN";"Star Destroyers, dois deles, vindo direto para nós."
"THREEPIO";"Senhor, senhor! Posso sugerir..."
"HAN";"Cale-o ou desligue-o! Verifique o escudo defletor!"
"HAN";"Ah, ótimo. Bem, ainda podemos vencê-los."
"OFICIAL IMPERIAL";"Tome uma ação evasiva!"
"HAN";"Prepare-se para saltar para a velocidade da luz."
"THREEPIO";"Mas, senhor!"
"LEIA";"Eles estão se aproximando!"
"HAN";"Ah é? Veja isso."
"LEIA";"Assistir o quê?"
"HAN";"Acho que estamos com problemas."
"THREEPIO";"Se me permite dizer, senhor, notei anteriormente que o motivador do hiperpropulsor foi danificado. É impossível ir à velocidade da luz!"
"HAN";"Estamos com problemas!"
"HAN";"Reforços horizontais...!"
"HAN";"Amortecedores aluviais...! Bem, não é isso."
"HAN";"Traga-me as chaves hidráulicas!"
"HAN";"Eu não sei como vamos sair dessa."
"HAN";"Oww! Chewie!"
"HAN";"Isso não foi uma explosão de laser! Algo nos atingiu."
"LEIA";"Han, suba aqui!"
"HAN";"Vamos, Chewie!"
"LEIA";"Asteróides!"
"HAN";"Ah, não! Chewie, coloque dois-sete-um."
"LEIA";"O que você está fazendo? Você não está realmente entrando em um campo de asteróides?"
"HAN";"Eles seriam loucos para nos seguir, não seria?"
"LEIA";"Você não precisa fazer isso para me impressionar."
"THREEPIO";"Senhor, a possibilidade de navegar com sucesso em um campo de asteróides é de aproximadamente três mil, setecentos e vinte para um."
"HAN";"Nunca me diga as probabilidades!"
"HAN";"Você disse que queria estar por perto quando eu cometi um erro; bem, pode ser isso, querida."
"LEIA";"Eu retiro. Vamos ser pulverizados se ficarmos aqui muito mais tempo."
"HAN";"Eu não vou discutir com isso."
"THREEPIO";"Pulverizado?"
"HAN";"Vou me aproximar de um dos grandes."
"LEIA";"Mais perto?"
"THREEPIO";"Mais perto?!"
"THREEPIO";"Ah, isso é suicídio!"
"HAN";"Pronto. Parece muito bom."
"LEIA";"O que parece muito bom?"
"HAN";"Sim. Isso vai servir bem."
"THREEPIO";"Com licença, senhora, mas para onde vamos?"
"LEIA";"Espero que saiba o que está fazendo."
"HAN";"Sim, eu também."
"LUKE";"Sim, é isso. Dagobah."
"LUKE";"Não, eu não vou mudar de ideia sobre isso. Eu não estou pegando nenhuma cidade ou tecnologia. Leituras massivas de formas de vida, no entanto. Há algo vivo lá embaixo..."
"LUKE";"Sim, tenho certeza que é perfeitamente seguro para droides."
"LUKE";"Eu sei, eu sei! Todos os escopos estão mortos. Não consigo ver nada! Apenas espere, vou começar o ciclo de pouso..."
"LUKE";"Não, Artoo, fique aí. Vou dar uma olhada."
"LUKE";"Artoo?"
"LUKE";"Artoo! Onde você está?"
"LUKE";"Artoo! Tenha mais cuidado."
"LUKE";"Artoo -- por ali!"
"LUKE";"Artoo!"
"LUKE";"Ah, não! Você está bem? Vamos lá. Você tem sorte de não ter um gosto muito bom. Alguma coisa quebrada?"
"LUKE";"Se você está dizendo que vir aqui foi uma má ideia, estou começando a concordar com você. Oh, Artoo, o que estamos fazendo aqui? É como... algo saído de um sonho, ou , eu não sei. Talvez eu esteja apenas enlouquecendo."
"VADER";"Sim, Almirante?"
"PIETT";"Nossas naves avistaram a Millennium Falcon, senhor. Mas... ela entrou em um campo de asteróides e não podemos arriscar..."
"VADER";"Asteróides não me preocupam, Almirante. Eu quero aquela nave e não desculpas."
"PIETT";"Sim, senhor."
"HAN";"Vou desligar tudo menos os sistemas de energia de emergência."
"THREEPIO";"Senhor, estou quase com medo de perguntar, mas... isso inclui me desligar também?"
"HAN";"Não, eu preciso que você fale com o Falcon, descubra o que há de errado com o hyperdrive."
"THREEPIO";"Senhor, é bem possível que este asteróide não seja totalmente estável."
"HAN";"Não totalmente estável? Estou feliz que você esteja aqui para nos dizer essas coisas. Chewie, pegue o professor nas costas e ligue-o no hiperdrive."
"THREEPIO";"Ah! Às vezes eu simplesmente não entendo o comportamento humano. Afinal, eu só estou tentando fazer o meu trabalho da forma mais..."
"LEIA";"Deixe ir."
"HAN";"Sshh!"
"LEIA";"Solte, por favor."
"HAN";"Não fique animado."
"LEIA";"Capitão, ser segurado por você não é o bastante para me excitar."
"HAN";"Desculpe, querida. Não temos tempo para mais nada."
"LUKE";"Pronto para um pouco de energia? Ok. Vamos ver agora. Coloque isso aí. Pronto."
"LUKE";"Agora tudo o que tenho que fazer é encontrar esse Yoda... se é que ele existe."
"LUKE";"Ainda assim... há algo familiar sobre este lugar. Eu sinto que... eu não sei..."
"VOZ ESTRANHA";"Sentir como o quê?"
"LUKE";"Como se estivéssemos sendo observados!"
"CRIATURA";"Fora com sua arma! Não quero te fazer mal."
"CRIATURA";"Estou me perguntando, por que você está aqui?"
"LUKE";"Estou procurando alguém."
"CRIATURA";"Procurando? Encontrou alguém, você tem, eu diria, hmmm?"
"LUKE";"Certo."
"CRIATURA";"Eu posso te ajudar. Sim, mmmm."
"LUKE";"Acho que não. Estou procurando um grande guerreiro."
"CRIATURA";"Ahhh! Um grande guerreiro. As guerras não fazem um grande."
"LUKE";"Abaixe isso. Ei! Esse é o meu jantar."
"CRIATURA";"Como você fica tão grande, comendo comida desse tipo?"
"LUKE";"Ouça, amigo, não queríamos pousar naquela poça, e se pudéssemos tirar nossa nave, faríamos, mas não podemos, então por que você não... "
"CRIATURA";"Ah, não consegue tirar sua nave?"
"LUKE";"Ei, você poderia ter quebrado isso. Não faça isso. Ohhh... você está fazendo uma bagunça. Ei, me dê isso!"
"CRIATURA";"Minha! Ou eu não vou te ajudar."
"LUKE";"Não quero sua ajuda. Quero minha lâmpada de volta. Vou precisar dela para sair desse lamaçal viscoso."
"CRIATURA";"Mudhole? Slimy? Minha casa é esta."
"CRIATURA";"Ah, ah, ah!"
"LUKE";"Ah, Artoo, deixe ele ficar com ele."
"CRIATURA";"Meu! Meu!"
"LUKE";"Artoo!"
"CRIATURA";"Minha!"
"CRIATURA";"Minha!"
"LUKE";"Agora você vai seguir em frente, amiguinho? Temos muito trabalho a fazer."
"CRIATURA";"Não! Não, não! Ficar e ajudá-lo, eu vou. Encontre seu amigo, hmm?"
"LUKE";"Não estou procurando um amigo, estou procurando um Mestre Jedi."
"CRIATURA";"Oohhh. Mestre Jedi. Yoda. Você procura Yoda."
"LUKE";"Você o conhece?"
"CRIATURA";"Mmm. Levo você até ele, eu vou. Sim, sim. Mas agora, devemos comer. Venha. Boa comida. Venha."
"CRIATURA";"Venha, venha."
"LUKE";"Fique aqui e cuide do acampamento, Artoo."
"THREEPIO";"Oh, onde está Artoo quando eu preciso dele?"
"THREEPIO";"Senhor, não sei onde sua nave aprendeu a se comunicar, mas tem o dialeto mais peculiar. Acredito, senhor, diz que o acoplamento de energia no eixo negativo foi polarizado. temo que você terá que substituí-lo."
"HAN";"Bem, é claro que terei que substituí-lo."
"HAN";"Aqui! E Chewie..."
"HAN";"...Acho melhor substituir o acoplamento de potência negativa."
"HAN";"Ei, Meritíssimo, só estou tentando ajudar."
"LEIA";"Você poderia, por favor, parar de me chamar assim?"
"HAN";"Claro, Leia."
"LEIA";"Ah, às vezes você dificulta tanto."
"HAN";"Eu gosto, eu realmente gosto. Você poderia ser um pouco mais legal, no entanto. Vamos, admita. Às vezes você acha que eu estou bem."
"LEIA";"Ocasionalmente talvez... quando você não está agindo como um canalha."
"HAN";"Scaundrel? Scoundrel? Eu gosto do som disso."
"LEIA";"Pare com isso."
"HAN";"Parar o quê?"
"LEIA";"Pare com isso! Minhas mãos estão sujas."
"HAN";"Minhas mãos também estão sujas. Do que você tem medo?"
"LEIA";"Com medo?"
"HAN";"Você está tremendo."
"LEIA";"Não estou tremendo."
"HAN";"Você gosta de mim porque eu sou um canalha. Não há canalhas suficientes em sua vida."
"LEIA";"Acontece que gosto de homens legais."
"HAN";"Sou um bom homem."
"LEIA";"Não, você não está. Você está..."
"THREEPIO";"Senhor, senhor! Isolei o acoplamento de fluxo de potência reversa."
"HAN";"Obrigado. Muito obrigado."
"THREEPIO";"Ah, de nada, senhor."
"NEEDA";"... e essa, Lord Vader, foi a última vez que eles apareceram em qualquer uma de nossas miras. Considerando a quantidade de dano que sofremos, eles devem ter sido destruídos."
"VADER";"Não, Capitão, eles estão vivos. Quero que todas as naves disponíveis varrem o campo de asteróides até serem encontradas."
"PIETT";"Lorde Vader."
"VADER";"Sim, Almirante, o que é?"
"PIETT";"O Imperador ordena que você faça contato com ele."
"VADER";"Mova a nave para fora do campo de asteróides para que possamos enviar uma transmissão clara."
"PIETT";"Sim, meu senhor."
"VADER";"Qual é a tua ordem, meu mestre?"
"IMPERADOR";"Há uma grande perturbação na Força."
"VADER";"Eu senti."
"IMPERADOR";"Temos um novo inimigo - Luke Skywalker."
"VADER";"Sim, meu mestre."
"IMPERADOR";"Ele poderia nos destruir."
"VADER";"Ele é apenas um garoto. Obi-Wan não pode mais ajudá-lo."
"IMPERADOR";"A Força é forte com ele. O filho de Skywalker não deve se tornar um Jedi."
"VADER";"Se ele pudesse ser transformado, ele se tornaria um poderoso aliado."
"IMPERADOR";"Sim. Sim. Ele seria um grande trunfo. Pode ser feito?"
"VADER";"Ele se juntará a nós ou morrerá, meu mestre."
"LUKE";"Olha, tenho certeza que está delicioso. Só não entendo porque não podemos ver Yoda agora."
"CRIATURA";"Paciência! Para os Jedi é hora de comer também. Comer, comer. Quente. Boa comida, hm? Boa, hmm?"
"LUKE";"A que distância está Yoda? Levaremos muito tempo para chegarmos lá?"
"CRIATURA";"Não muito longe. Yoda não muito longe. Paciência. Logo você estará com ele. Rootleaf, eu cozinho. Por que deseja que você se torne um Jedi? Hm?"
"LUKE";"Principalmente por causa do meu pai, eu acho."
"CRIATURA";"Ah, seu pai. Jedi poderoso era ele, Jedi poderoso, mmm."
"LUKE";"Ah, vamos lá. Como você pode conhecer meu pai? Você nem sabe quem eu sou. Ah, eu nem sei o que estou fazendo aqui. Estamos perdendo nosso tempo. ."
